Symbol,Name
APH,ALLIANCE PHARMA PLC (XLON:APH)
GOOG,ALPHABET INC. (XNAS:GOOG)
AMZN,"AMAZON.COM, INC. (XNAS:AMZN)"
ANTO,ANTOFAGASTA PLC (XLON:ANTO)
AAPL,APPLE INC. (XNAS:AAPL)
ARB,ARGO BLOCKCHAIN PLC (XLON:ARB)
BP.,BP P.L.C. (XLON:BP.)
PRTS,"CARPARTS.COM, INC. (XNAS:PRTS)"
DVN,DEVON ENERGY CORPORATION (XNYS:DVN)
SMDS,DS SMITH PLC (XLON:SMDS)
EQOSQ,EQONEX Ltd (OTCM:EQOSQ)
GLEN,GLENCORE PLC (XLON:GLEN)
KGF,KINGFISHER PLC (XLON:KGF)
LLOY,LLOYDS BANKING GROUP PLC (XLON:LLOY)
MSFT,MICROSOFT CORPORATION (XNAS:MSFT)
PREM,Premier African Minerals Limited (XLON:PREM)
SBUX,STARBUCKS CORPORATION (XNAS:SBUX)
TSCO,TESCO PLC (XLON:TSCO)
TSLA,"TESLA, INC. (XNAS:TSLA)"
VMIG,Vangrd FTSE 250 ETF GBP A (XLON:VMIG)
VUSA,Vanguard S&P 500 ETF USD D (XLON:VUSA)
VWRL,Vngrd FTSE AllWld ETF USD D (XLON:VWRL)